,title,searched_title,company,location,salary,job_type,summary,link_job,indeed_company_link
0,Software engineer,software engineer,Sticker Mule,Remote,99000.0,,"Varied, interesting technical challenges to solve.
Degree in Computer Science or equivalent practical experience.",https://www.indeed.com/rc/clk?jk=1756e7b0298d0eb8&fccid=8363d1ab1997f5d7&vjs=3,https://www.indeed.com/cmp/Sticker-Mule
1,newSenior Software Engineer,software engineer,Netflix,+18 locationsRemote,,,"As part of our day-to-day work, we collaborate with UI engineering and product teams, peer platform engineering groups, and data experts to deliver video…",https://www.indeed.com/rc/clk?jk=fd98912700c0ce5c&fccid=66403b30a2c0d89c&vjs=3,https://www.indeed.com/cmp/Netflix
2,newSoftware Engineer I/II,software engineer,Microsoft,"Redmond, WA 98052 (Overlake area)+126 locations",,Full-time,"You will have opportunities to work on multiple layers of the technology stack, ranging from customer-focused user experience work, building scalable…",https://www.indeed.com/rc/clk?jk=70877226efe9d948&fccid=734cb5a01ee60f80&vjs=3,https://www.indeed.com/cmp/Microsoft
3,Software Engineer - Web,software engineer,Microsoft,"Redmond, WA 98052 (Overlake area)+67 locations",,Full-time,"Proficiency with Git and version control best practices.
Deliver web experiences that are highly crafted and rewarding to the Flipgrid community.",https://www.indeed.com/rc/clk?jk=fd8d4d5e83b2a776&fccid=734cb5a01ee60f80&vjs=3,https://www.indeed.com/cmp/Microsoft
4,Software Engineer-Work from home-eviCore,software engineer,Cigna,"Remote in Hartford, CT 06152+9 locations",95900.0,Full-time,"We also offer 401(k) with company match, company paid life insurance, tuition reimbursement, a minimum of 18 days of paid time off per year and dozens of…",https://www.indeed.com/rc/clk?jk=f5144503a6d3283b&fccid=afbf8c270610a38a&vjs=3,https://www.indeed.com/cmp/Cigna
5,Software Engineering: Full time opportunities for Graduates,software engineer,Github,+19 locationsRemote,62000.0,Full-time,"Note: Disclosure as required by sb19-085 (8-5-20) of the minimum salary compensation for this role when being hired in Colorado.
Experience with Git and GitHub.",https://www.indeed.com/rc/clk?jk=c7a695ba3e0a1544&fccid=c594c442f5397e7b&vjs=3,https://www.indeed.com/cmp/Github
6,Frontend Software Engineer (Early Career),software engineer,Apple,"Culver City, CA+48 locations",,,"This role involves building scalable web applications that aid in deploying, monitoring and securing the network infrastructure in our retail stores and…",https://www.indeed.com/rc/clk?jk=5b0d61c0a37b0447&fccid=c1099851e9794854&vjs=3,https://www.indeed.com/cmp/Apple
7,newAssociate Software Engineer,software engineer,SiriusXM,"Irving, TX 75063 (Freeport/Hackberry area)+45 locations",,,"5 years of equivalent, relevant experience is also fine in lieu of the above.
Work closely with senior engineering team members to accelerate learning and…",https://www.indeed.com/rc/clk?jk=d970bb6b52cebec3&fccid=2018d5224b07e6a7&vjs=3,
8,Software Engineer (Muitiple Positions and Levels),software engineer,Adobe,"San Jose, CA+22 locations",133400.0,Full-time,"Marketo Engage platform and applications give customers ability to build, manage, and execute personalized engagement at scale across multiple touchpoints and…",https://www.indeed.com/rc/clk?jk=1f698fff0640ee08&fccid=f89deb5a97c7738a&vjs=3,https://www.indeed.com/cmp/Adobe
9,Jr. Software Dev Engineer,software engineer,Amazon.com Services LLC,"Detroit, MI+4 locations",,Full-time +1,"We require our full-time software developers to be able and willing to mentor exceptionally capable young developers.
Recent graduate of Tech Elevator Bootcamp.",https://www.indeed.com/rc/clk?jk=1f9777c7c9b5141a&fccid=fe2d21eef233e94a&vjs=3,https://www.indeed.com/cmp/Amazon.com
10,newSoftware Engineer,software engineer,PayPal,"Remote in Brunswick, GA 31520+72 locations",,Full-time,"Besides writing scalable and maintainable code, you will be challenged with building products that have an exceptional user and developer experience.",https://www.indeed.com/rc/clk?jk=df765b541803d04b&fccid=978d9fd9799d55a8&vjs=3,https://www.indeed.com/cmp/Paypal
11,University Grad Software Engineer (USA),software engineer,Pinterest,"Seattle, WA 98101 (Denny Triangle area)+14 locations",,Internship,"Experience in previous software engineering internships.
Execute scoped technical tasks end-to-end in collaboration with cross-functional Pinployees to help…",https://www.indeed.com/rc/clk?jk=cf0a5ae07b40afcc&fccid=43014b1412e0a7b6&vjs=3,https://www.indeed.com/cmp/Pinterest
12,Software Development Engineer in Test,software engineer,Hulu,"Santa Monica, CA 90404+1 location",,Full-time,"If you are someone who effectively moves between high-level concepts and low-level execution, then this is a great role for you!",https://www.indeed.com/rc/clk?jk=c3cce2281e1035ab&fccid=6824fc1f087bd63e&vjs=3,https://www.indeed.com/cmp/Hulu
